"""0"",""1"",""00"",""01"",""10"",""11"",""000"",""001"",""010"",""011"",""100"",""101"",""110"",""111"""
6,6,10,12,12,10,14,21,14,21,21,14,21,14
47,47,23,26,26,24,15,14,15,14,14,15,14,16
6,6,12,14,14,14,15,17,13,20,20,13,17,17
6,6,12,14,14,14,15,18,13,18,18,13,18,15
8,8,6,7,7,5,13,10,13,10,10,13,10,14
6,6,12,14,14,14,16,14,18,15,15,18,14,16
6,6,12,14,14,14,16,15,18,15,15,18,15,15
48,48,23,25,25,24,25,17,16,29,29,16,17,26
6,6,10,13,13,10,17,15,15,15,15,15,15,17
11,11,15,26,26,15,20,16,14,17,17,14,16,21
25,25,13,26,26,14,15,19,16,19,19,16,19,18
11,11,13,14,14,13,19,18,14,15,15,14,18,21
6,6,12,15,15,12,12,13,13,13,13,13,13,13
15,15,16,16,16,19,17,17,14,14,14,14,17,17
9,9,14,17,17,14,21,14,13,14,14,13,14,21
12,12,15,12,12,15,15,15,20,13,13,20,15,18
16,16,10,13,13,10,17,14,16,14,14,16,14,18
10,10,15,12,12,16,16,15,18,15,15,18,15,16
12,12,15,11,11,17,17,15,19,15,15,19,15,16
13,13,18,13,13,25,15,15,15,19,19,15,15,15
6,6,11,24,24,12,14,12,18,12,12,18,12,16
13,13,13,13,13,15,15,16,14,12,12,14,16,15
10,10,12,14,14,12,16,14,16,14,14,16,14,14
11,11,18,15,15,14,16,15,16,15,15,16,15,16
8,8,11,15,15,11,13,21,16,21,21,16,21,14
15,15,16,14,14,18,15,15,13,15,15,13,15,15
10,10,18,13,13,14,14,15,15,16,16,15,15,14
15,15,14,14,14,15,19,14,13,14,14,13,14,19
9,9,13,12,12,15,14,19,13,19,19,13,19,14
10,10,12,15,15,12,18,18,16,13,13,16,18,21
8,8,12,13,13,12,16,20,13,18,18,13,20,16
11,11,15,15,15,15,18,17,16,15,15,16,17,18
10,10,11,17,17,11,16,17,27,17,17,27,17,16
11,11,15,14,14,15,17,13,14,15,15,14,13,16
21,21,12,18,18,12,19,17,20,14,14,20,17,19
20,20,16,17,17,16,16,24,18,14,14,18,24,14
4,4,6,9,9,6,11,10,10,10,10,10,10,10
28,28,15,19,19,14,17,15,15,16,16,15,15,16
18,18,14,12,12,14,18,15,15,15,15,15,15,18
13,13,19,12,12,19,23,12,15,18,18,15,12,23
42,42,12,12,12,12,23,17,18,17,17,18,17,23
12,12,15,15,15,15,16,13,17,12,12,17,13,16
8,8,13,12,12,13,16,14,12,17,17,12,14,16
14,14,14,13,13,14,14,15,14,15,15,14,15,13
7,7,14,10,10,13,14,11,14,11,11,14,11,14
11,11,12,11,11,12,16,12,16,16,16,16,12,16
11,11,14,13,13,14,18,16,16,16,16,16,16,18
11,11,16,15,15,16,18,15,23,13,13,23,15,18
8,8,12,14,14,12,16,13,16,13,13,16,13,16
14,14,15,13,13,15,19,18,16,13,13,16,18,19
11,11,13,16,16,12,24,15,17,15,15,17,15,24
